method,precision@5,precision@10,jaccard@5,jaccard@10,content_div@5,content_div@10,query_time_ms
TF-IDF,0.6688999999999999,0.65355,0.29154690836940833,0.2734162914862915,0.76952046,0.79343325,3.149381700975937
BM25,0.688,0.6675500000000001,0.3038334126984127,0.2828627597402597,0.7648175,0.78996277,3.2411882214528305
Semantic,0.8127000000000001,0.80325,0.3973027777777777,0.3794600595238095,0.71528006,0.73656106,3.3350399029695836
Hybrid,0.7901,0.7794000000000001,0.38200142857142855,0.36283454365079365,0.7180641,0.7420468,3.145389330073158
