method,precision@5,precision@10,jaccard@5,jaccard@10,content_div@5,content_div@10,query_time_ms
TF-IDF,0.7297,0.7101000000000001,0.3323857936507936,0.3134715494227995,0.73020184,0.7590271,3.103272409458441
BM25,0.7546,0.7355,0.3536630555555555,0.33288021825396824,0.73052496,0.7579391,3.251613357973838
Semantic,0.8332999999999999,0.8234000000000001,0.41495365079365076,0.39973174603174605,0.6948447,0.71987844,3.0689313570328522
Hybrid,0.8194000000000001,0.8116,0.40538646825396824,0.39149569444444443,0.6921551,0.7177475,2.9792111836140975
